n,k,d
2.10168,-0.0445361,0.0005
2.30214,-0.0202814,0.0005
2.44811,-0.0520004,0.0005
2.01324,-0.0512151,0.0005
2.86665,-0.0271592,0.0005
2.44681,-0.0910667,0.0005
2.4748,-0.0912322,0.0005
2.00406,-0.0737095,0.0005
2.50647,-0.0842818,0.0005
2.22619,-0.0750153,0.0005
2.61543,-0.0679367,0.0005
2.21399,-0.0441003,0.0005
2.64913,-0.0336448,0.0005
2.20911,-0.037758,0.0005
2.53373,-0.051536,0.0005
2.79311,-0.0764527,0.0005
2.75192,-0.0419424,0.0005
2.1867,-0.00412667,0.0005
2.37821,-0.0355777,0.0005
2.53588,-0.0308648,0.0005
2.43297,-0.0907162,0.0005
2.36369,-0.0944411,0.0005
2.894,-0.0917252,0.0005
2.97272,-0.0390515,0.0005
2.73163,-0.0260676,0.0005
2.8991,-0.0183511,0.0005
2.02427,-0.0311553,0.0005
2.18977,-0.0386686,0.0005
2.08961,-0.0757014,0.0005
2.66164,-0.0292204,0.0005
2.22325,-0.00666232,0.0005
2.03648,-0.00831245,0.0005
2.81184,-0.0357662,0.0005
2.77197,-0.0546332,0.0005
2.11604,-0.000249952,0.0005
2.24283,-0.0553864,0.0005
2.13847,-0.0478741,0.0005
2.0577,-0.0618765,0.0005
2.69471,-0.0529564,0.0005
2.14046,-0.0641458,0.0005
2.91553,-0.0195217,0.0005
2.39024,-0.0182077,0.0005
2.43532,-0.0281154,0.0005
2.34687,-0.079665,0.0005
2.75183,-0.0590733,0.0005
2.88627,-0.0163383,0.0005
2.37027,-0.0335076,0.0005
2.73374,-0.0161751,0.0005
2.59328,-0.0497603,0.0005
2.77094,-0.0914532,0.0005
2.12453,-0.0323514,0.0005
2.68029,-0.0812951,0.0005
2.21516,-0.0324094,0.0005
2.17509,-0.0834866,0.0005
2.47479,-0.0872659,0.0005
2.72686,-0.0703181,0.0005
2.98384,-0.0457808,0.0005
2.15847,-0.0229717,0.0005
2.11331,-0.062515,0.0005
2.24499,-0.0475731,0.0005
2.46099,-0.0675297,0.0005
2.45319,-0.0986575,0.0005
2.58862,-0.0225789,0.0005
2.04518,-0.0275965,0.0005
2.12567,-0.0590727,0.0005
2.77042,-0.0300214,0.0005
2.13776,-0.00540467,0.0005
2.59587,-0.0954679,0.0005
2.21872,-0.0160837,0.0005
2.07601,-0.099519,0.0005
2.82878,-0.09986,0.0005
2.69945,-0.00265789,0.0005
2.28349,-0.0402202,0.0005
2.51691,-0.0581152,0.0005
2.38935,-0.0765593,0.0005
2.72054,-0.0452182,0.0005
2.4013,-0.0284746,0.0005
2.39527,-0.0879705,0.0005
2.93804,-0.0103169,0.0005
2.5275,-0.0155065,0.0005
2.16971,-0.0552932,0.0005
2.20447,-0.0956103,0.0005
2.43401,-0.061057,0.0005
2.64844,-0.0558019,0.0005
2.77255,-0.0572679,0.0005
2.36084,-0.0858206,0.0005
2.88009,-0.0647257,0.0005
2.1877,-0.0695753,0.0005
2.18544,-0.00709169,0.0005
2.60431,-0.0624301,0.0005
2.77551,-0.0149979,0.0005
2.14001,-0.040254,0.0005
2.80466,-0.0552976,0.0005
2.54194,-0.00197051,0.0005
2.35208,-0.0961217,0.0005
2.0149,-0.0338339,0.0005
2.97164,-0.0502023,0.0005
2.40092,-0.0241047,0.0005
2.82796,-0.0805801,0.0005
2.88236,-0.0976991,0.0005
2.91304,-0.022032,0.0005
2.92268,-0.0892159,0.0005
2.38135,-0.0359663,0.0005
2.38311,-0.0741054,0.0005
2.5293,-0.0908626,0.0005
2.87235,-0.069939,0.0005
2.36246,-0.00423516,0.0005
2.89025,-0.0571299,0.0005
2.23882,-0.0655203,0.0005
2.40729,-0.099503,0.0005
2.34402,-0.00477411,0.0005
2.39607,-0.0280696,0.0005
2.33872,-0.0558939,0.0005
2.14548,-0.0284154,0.0005
2.91124,-0.0233202,0.0005
2.91677,-0.0457876,0.0005
2.4247,-0.0854586,0.0005
2.89237,-0.0448049,0.0005
2.80424,-0.0657829,0.0005
2.04477,-0.0791023,0.0005
2.51121,-0.0764045,0.0005
2.33797,-0.0611649,0.0005
2.44198,-0.0973261,0.0005
2.84765,-0.0721612,0.0005
2.56739,-0.0962214,0.0005
2.31969,-0.00611679,0.0005
2.59067,-0.0200401,0.0005
2.17462,-0.0448827,0.0005
2.58789,-0.0511789,0.0005
2.03506,-0.0900013,0.0005
